,,0
stats_neutralMinionsKilled,stats_neutralMinionsKilledEnemyJungle,0.6970657007330331
stats_damageDealtToObjectives,stats_totalDamageDealt,0.6911625804531328
stats_physicalDamageDealt,stats_totalDamageDealt,0.6759398954885683
stats_killingSprees,stats_totalDamageDealtToChampions,0.6752965761608885
stats_damageDealtToObjectives,stats_neutralMinionsKilled,0.6715023323697683
stats_visionScore,stats_visionWardsBoughtInGame,0.6708316900624324
stats_goldSpent,stats_killingSprees,0.6664332478809095
stats_champLevel,stats_totalDamageTaken,0.6645659839390939
stats_visionWardsBoughtInGame,stats_wardsPlaced,0.6619835917612352
stats_goldSpent,stats_totalDamageTaken,0.6485359573733024
stats_doubleKills,stats_largestKillingSpree,0.6446450445028634
stats_largestKillingSpree,stats_largestMultiKill,0.6440941818001336
stats_physicalDamageTaken,stats_totalHeal,0.633549248890314
stats_physicalDamageDealtToChampions,stats_totalDamageDealtToChampions,0.6324781762880287
stats_goldEarned,stats_physicalDamageDealt,0.631094821982094
stats_largestMultiKill,stats_tripleKills,0.6295324437754958
stats_totalDamageTaken,stats_totalHeal,0.6259540891709094
stats_goldEarned,stats_totalDamageTaken,0.6244790026208614
stats_goldEarned,stats_physicalDamageDealtToChampions,0.6210947104323431
stats_assists,stats_visionScore,0.6175442585159203
stats_goldSpent,stats_physicalDamageDealt,0.613869134901618
stats_kills,stats_totalDamageDealt,0.6129240677064031
stats_doubleKills,stats_killingSprees,0.6124763672075385
stats_goldEarned,stats_largestKillingSpree,0.610798572837543
stats_largestCriticalStrike,stats_physicalDamageDealt,0.6101848247254648
stats_totalDamageDealtToChampions,stats_totalDamageTaken,0.6073341352177701
stats_killingSprees,stats_largestKillingSpree,0.6059910589404226
stats_perk3,stats_perkPrimaryStyle,0.6050795226627058
stats_damageDealtToObjectives,stats_neutralMinionsKilledTeamJungle,0.6028205520064343
stats_goldSpent,stats_physicalDamageDealtToChampions,0.6027933147772814
stats_champLevel,stats_physicalDamageTaken,0.5999682263139281
stats_damageDealtToObjectives,stats_goldEarned,0.5976984517368333
stats_killingSprees,stats_largestMultiKill,0.5971274466881195
stats_neutralMinionsKilled,stats_totalHeal,0.5948974051437549
stats_damageSelfMitigated,stats_magicalDamageTaken,0.5925476821471254
stats_goldSpent,stats_physicalDamageTaken,0.586323660154238
stats_goldEarned,stats_largestMultiKill,0.5831079607188338
stats_neutralMinionsKilledEnemyJungle,stats_neutralMinionsKilledTeamJungle,0.5826381653723008
stats_damageDealtToObjectives,stats_neutralMinionsKilledEnemyJungle,0.5767275236805846
stats_kills,stats_physicalDamageDealtToChampions,0.5755738363719105
stats_totalDamageTaken,stats_trueDamageTaken,0.5754509579428919
stats_totalDamageDealt,stats_totalDamageTaken,0.5754262457994025
stats_neutralMinionsKilledTeamJungle,stats_totalHeal,0.5726092735031062
stats_goldEarned,stats_physicalDamageTaken,0.5716719677926705
stats_goldEarned,stats_totalMinionsKilled,0.5697905614133748
stats_goldSpent,stats_totalMinionsKilled,0.5690152188459122
stats_physicalDamageTaken,stats_totalDamageDealt,0.564104068595095
stats_champLevel,stats_kills,0.5594832475862642
stats_perk2,stats_perk2Var2,0.5574991430195679
stats_doubleKills,stats_totalDamageDealtToChampions,0.5566654458793857
stats_physicalDamageDealtToChampions,stats_totalDamageDealt,0.5566078428741436
stats_killingSprees,stats_totalDamageDealt,0.5565646992122077
stats_goldSpent,stats_largestKillingSpree,0.5563702654963244
stats_damageDealtToObjectives,stats_goldSpent,0.5541823404900662
stats_totalDamageDealt,stats_totalMinionsKilled,0.5539606980738507
stats_doubleKills,stats_goldEarned,0.55352215652651
stats_champLevel,stats_magicalDamageTaken,0.5521227205092304
stats_largestKillingSpree,stats_totalDamageDealtToChampions,0.5509910633203708
stats_assists,stats_wardsPlaced,0.5457597846814213
stats_damageDealtToTurrets,stats_goldEarned,0.5454052284888853
stats_damageSelfMitigated,stats_trueDamageTaken,0.5444883433971289
stats_goldSpent,stats_largestMultiKill,0.543494385041752
stats_playerScore5,stats_playerScore6,0.5431838631487319
stats_perk1,stats_perk2,0.5424304233774557
stats_physicalDamageTaken,stats_totalDamageDealtToChampions,0.5415410720765539
stats_largestCriticalStrike,stats_physicalDamageDealtToChampions,0.5358951091592167
stats_largestMultiKill,stats_totalDamageDealtToChampions,0.5353570400668675
stats_goldEarned,stats_turretKills,0.5352079500427892
stats_goldSpent,stats_magicalDamageTaken,0.5351200358229764
stats_doubleKills,stats_tripleKills,0.5279418798656672
stats_deaths,stats_totalDamageTaken,0.5270137099879311
stats_wardsKilled,stats_wardsPlaced,0.5268997082001208
stats_champLevel,stats_damageSelfMitigated,0.5234110224115519
stats_neutralMinionsKilled,stats_physicalDamageTaken,0.5182368623131759
stats_magicalDamageTaken,stats_physicalDamageTaken,0.5182174330804452
stats_damageDealtToTurrets,stats_totalMinionsKilled,0.5151134660786473
stats_damageDealtToObjectives,stats_kills,0.5150236536076772
stats_champLevel,stats_totalMinionsKilled,0.5141422998303489
stats_damageDealtToObjectives,stats_physicalDamageDealt,0.512527339341824
stats_magicalDamageTaken,stats_totalDamageDealtToChampions,0.5112852578012254
stats_doubleKills,stats_goldSpent,0.5104302483720365
stats_physicalDamageDealt,stats_totalDamageDealtToChampions,0.5094383267649242
stats_totalDamageDealtToChampions,stats_totalMinionsKilled,0.5076639807273026
stats_perk3Var2,stats_perk3Var3,0.5071020737027007
stats_champLevel,stats_killingSprees,0.5069678714724709
stats_neutralMinionsKilled,stats_totalDamageDealt,0.5055837863191304
stats_goldEarned,stats_magicalDamageTaken,0.5054637108649879
stats_deaths,stats_magicalDamageTaken,0.5039580057519686
stats_killingSprees,stats_physicalDamageDealtToChampions,0.5012688321578435
stats_physicalDamageDealt,stats_totalMinionsKilled,0.4996234681889475
stats_damageDealtToObjectives,stats_turretKills,0.49947153962854923
stats_damageDealtToObjectives,stats_totalHeal,0.4994625361412118
stats_neutralMinionsKilledTeamJungle,stats_physicalDamageTaken,0.4988136374234359
stats_damageDealtToTurrets,stats_goldSpent,0.4908092232229329
stats_largestKillingSpree,stats_totalDamageDealt,0.4901272379004137
stats_champLevel,stats_damageDealtToObjectives,0.48854530302250326
stats_perk1Var1,stats_totalDamageDealtToChampions,0.48817868230416345
stats_physicalDamageTaken,stats_trueDamageTaken,0.4803667669726308
stats_champLevel,stats_physicalDamageDealt,0.4787567046012794
stats_kills,stats_physicalDamageDealt,0.4776708837661455
stats_playerScore5,stats_playerScore7,0.47653112652618856
stats_goldSpent,stats_turretKills,0.47635425423482336
stats_neutralMinionsKilledEnemyJungle,stats_totalDamageDealt,0.47485104579049353
stats_goldEarned,stats_perk1Var1,0.4742078705145074
stats_playerScore7,stats_playerScore9,0.4732695612854772
stats_damageDealtToObjectives,stats_largestKillingSpree,0.47234654625955197
stats_neutralMinionsKilledTeamJungle,stats_totalDamageDealt,0.4713928320755655
stats_damageDealtToTurrets,stats_physicalDamageDealt,0.4675927378240965
stats_perkPrimaryStyle,stats_wardsPlaced,0.4667591986264222
stats_damageSelfMitigated,stats_goldSpent,0.464174129221698
stats_kills,stats_tripleKills,0.463848478080258
stats_magicDamageDealtToChampions,stats_totalDamageDealtToChampions,0.4631394880090662
stats_totalDamageDealt,stats_turretKills,0.46026083940268137
stats_damageDealtToObjectives,stats_totalDamageDealtToChampions,0.46019964653351564
stats_goldSpent,stats_perk1Var1,0.45850143086900735
stats_damageDealtToObjectives,stats_physicalDamageTaken,0.4559578130651624
stats_visionWardsBoughtInGame,stats_wardsKilled,0.4541983268258794
stats_damageSelfMitigated,stats_totalTimeCrowdControlDealt,0.4540836754597296
stats_damageDealtToTurrets,stats_kills,0.4530959507665854
stats_largestMultiKill,stats_totalDamageDealt,0.4525825038724745
stats_damageDealtToObjectives,stats_killingSprees,0.4525361428014621
stats_damageDealtToTurrets,stats_totalDamageDealt,0.45177510747949484
stats_damageSelfMitigated,stats_goldEarned,0.4486189464125338
stats_kills,stats_turretKills,0.44825477591895707
stats_perk3Var1,stats_totalDamageDealtToChampions,0.4463285870869089
stats_totalUnitsHealed,stats_wardsPlaced,0.44564735312346887
stats_neutralMinionsKilled,stats_totalDamageTaken,0.4455641255285967
stats_physicalDamageDealt,stats_turretKills,0.4443478289854213
stats_totalUnitsHealed,stats_visionScore,0.4443023604915557
stats_damageDealtToTurrets,stats_physicalDamageDealtToChampions,0.4438149995092615
stats_damageDealtToTurrets,stats_totalDamageDealtToChampions,0.44038480676530395
stats_timeCCingOthers,stats_totalTimeCrowdControlDealt,0.4391600783913688
stats_champLevel,stats_physicalDamageDealtToChampions,0.43746678749235224
stats_damageDealtToObjectives,stats_damageDealtToTurrets,0.4372387031359246
stats_goldEarned,stats_perk3Var1,0.43549779190356885
stats_neutralMinionsKilledEnemyJungle,stats_totalHeal,0.43549713860512285
stats_perk3Var1,stats_totalDamageDealt,0.4345757029174563
stats_largestKillingSpree,stats_turretKills,0.43441362399787425
stats_physicalDamageDealtToChampions,stats_totalMinionsKilled,0.4331344000531637
stats_magicalDamageTaken,stats_totalHeal,0.4328537441739148
stats_perk1Var1,stats_physicalDamageDealtToChampions,0.4317830806857424
stats_doubleKills,stats_physicalDamageDealtToChampions,0.4317739563980768
stats_pentaKills,stats_quadraKills,0.4317703300411912
stats_kills,stats_totalDamageTaken,0.42958033414839963
stats_neutralMinionsKilledTeamJungle,stats_totalDamageTaken,0.4295456168222606
stats_killingSprees,stats_physicalDamageDealt,0.42751690270796006
stats_deaths,stats_physicalDamageTaken,0.4274179600186608
stats_damageDealtToTurrets,stats_largestKillingSpree,0.4271347835777845
stats_totalDamageDealtToChampions,stats_trueDamageDealtToChampions,0.4256857790125804
stats_magicalDamageTaken,stats_totalDamageDealt,0.42247239192333597
stats_champLevel,stats_totalHeal,0.4224356152564815
stats_goldSpent,stats_perk3Var1,0.42239417386334244
stats_assists,stats_visionWardsBoughtInGame,0.42231488757189045
stats_champLevel,stats_largestKillingSpree,0.41925908354234276
stats_kills,stats_physicalDamageTaken,0.41660766137761773
stats_largestKillingSpree,stats_physicalDamageDealtToChampions,0.41628327401490905
stats_largestMultiKill,stats_physicalDamageDealtToChampions,0.4160396803821783
stats_champLevel,stats_largestMultiKill,0.4158705292600559
stats_assists,stats_wardsKilled,0.41571507106586997
stats_quadraKills,stats_tripleKills,0.41505363901817643
stats_kills,stats_perk3Var1,0.4149510620760324
stats_doubleKills,stats_totalDamageDealt,0.4148833627673093
stats_perkPrimaryStyle,stats_visionScore,0.4135170935495416
stats_perk1Var1,stats_perk2,0.41327850112664866
stats_kills,stats_perk1Var1,0.41241390994691485
stats_totalDamageTaken,stats_totalTimeCrowdControlDealt,0.4116945105293357
stats_assists,stats_timeCCingOthers,0.4105919568573837
stats_largestKillingSpree,stats_tripleKills,0.4105911651314081
stats_neutralMinionsKilled,stats_totalTimeCrowdControlDealt,0.40921444234732424
stats_totalDamageDealtToChampions,stats_turretKills,0.4091918512306795
stats_damageDealtToObjectives,stats_physicalDamageDealtToChampions,0.40855866807515306
stats_physicalDamageDealtToChampions,stats_turretKills,0.40785122743752156
stats_damageDealtToObjectives,stats_totalDamageTaken,0.40640435399533187
stats_playerScore4,stats_playerScore9,0.4045700946388454
stats_totalMinionsKilled,stats_turretKills,0.40435370053991165
stats_damageSelfMitigated,stats_totalHeal,0.40264674963492747
stats_neutralMinionsKilledTeamJungle,stats_totalTimeCrowdControlDealt,0.40122083423908406
stats_damageDealtToTurrets,stats_inhibitorKills,0.40088137960660286
stats_inhibitorKills,stats_turretKills,0.39969673959142193
stats_goldEarned,stats_totalHeal,0.3996497378883711
stats_perk4Var2,stats_perk4Var3,0.3984296239797653
stats_damageSelfMitigated,stats_totalDamageDealtToChampions,0.3955228151083376
stats_champLevel,stats_turretKills,0.3944147833973074
stats_totalDamageDealt,stats_totalHeal,0.39364815857579055
stats_killingSprees,stats_totalDamageTaken,0.3930805086367953
